Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,,,,,,,,,,,,,,,,
1,АА Сухобоков,Перспективы развития систем обработки информации и управления в следующем десятилетии (2020–2030 гг.),2016,Информационно-измерительные и …,researchgate.net,https://www.researchgate.net/profile/Artem-Sukhobokov/publication/312379409_Prospects_of_data_processing_and_management_systems'_development_in_the_next_decade_2020_-_2030_yrs/links/587cbb2308ae9275d4e6fd82/Prospects-of-data-processing-and-management-systems-development-in-the-next-decade-2020-2030-yrs.pdf,https://scholar.google.com/scholar?cites=13152968842656750821&as_sdt=2005&sciodt=2007&hl=en,,,,,,,,,,,,,,,,
0,"ОЕ Антипов, МА Белов, НА Токарева",ВИРТУАЛЬНОЙ КОМПЬЮТЕРНОЙ ЛАБОРАТОРИЯ ДЛЯ ПОДГОТОВКИ СПЕЦИАЛИСТОВ В ОБЛАСТИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙЙ,,nnov.hse.ru,,https://nnov.hse.ru/data/2012/01/24/1264569658/%D0%A2%D0%B5%D0%BA%D1%81%D1%82%20%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B8.pdf,,,,,,,,,,,,,,,,,
0,СВ Запечников,Учебно-методическое обеспечение дисциплины «Открытые информационные системы»,2014,Безопасность информационных технологий,bit.mephi.ru,https://bit.mephi.ru/index.php/bit/article/view/138,,46,2021-08-07 17:02:08,,,,,,,,,0,0,0,1,7,"… Обзор различных классов компьютерных систем: суперкомпьютеры, мейнфреймы, центры обработки данных … и раздельными очередями к каждому из серверов (после модернизации ЦОД … очередью; 2) определить, приведет ли предлагаемая модернизация ЦОД к …"
4,"ЕЗ Макеева, ВВ Махарадзе",Нормативно-справочная информационная система-инструмент управления экономической эффективностью организации,2014,Транспортное дело России,cyberleninka.ru,https://cyberleninka.ru/article/n/15957192,https://scholar.google.com/scholar?cites=17472336528706389018&as_sdt=2005&sciodt=2007&hl=en,47,2021-08-07 17:02:08,HTML,,,,,,,,4,0.57,2,2,7,"… эксплуатации от двух до пяти лет после проведённой модернизации … изотермический подвижной состав, рефрижераторный вагон, продление срока службы, модернизация … компании проводят на вагоноремонтных предприятиях модернизацию вагонов, которая …"
3,"АВ Астрахов, КБ Здирук, АМ Сычев",Применение интегрального показателя внутренней конфликтности при анализе жизненного цикла автоматизированной системы сбора и обработки данных,2013,Инженерный журнал: наука …,cyberleninka.ru,https://cyberleninka.ru/article/n/18348847,https://scholar.google.com/scholar?cites=11788853517295114789&as_sdt=2005&sciodt=2007&hl=en,48,2021-08-07 17:02:08,,,,,,,,,3,0.38,1,3,8,"… сбора и обработки данных (АССОД), сформулирован критерий предпочтения при выборе направлений модернизации «унаследованных» систем … собой гетерогенную вычислительную сеть, включавшую распределенные фрагменты БД на мэйнфрейме и ПЭВМ …"
34,ИН Курносов,Реализация концепции электронного правительства: новый этап,2004,Информационное общество,emag.iis.ru,http://emag.iis.ru/arc/infosoc/emag.nsf/0/890b2440d66b70fcc32571780046f577?OpenDocument,https://scholar.google.com/scholar?cites=5410094137791052354&as_sdt=2005&sciodt=2007&hl=en,49,2021-08-07 17:02:08,HTML,,,,,,,,34,2,34,1,17,"… Модернизация государственного управления неразрывно связана с использованием новых … приоритетных задач социально-экономического развития, модернизации системы государственного … управления в целом и модернизацию управления проектами …"
3,ВВ Табаков,«Облачные» вычисления (Cloud Computing)-новая область информационных услуг,2010,Креативная экономика,cyberleninka.ru,https://cyberleninka.ru/article/n/16636324,https://scholar.google.com/scholar?cites=3138572501758223879&as_sdt=2005&sciodt=2007&hl=en,50,2021-08-07 17:02:08,HTML,,,,,,,,3,0.27,3,1,11,"… Кроме того, итеративный процесс модернизации платформы в Cloud Computing проходит … продвигает свои услуги, тратя миллионы долларов на модернизацию инфраструктуры, специалистов и … подобной той, какой во времена развития мейнфреймов стала IBM …"
0,АВ Серебряков,"Системы диспетчеризации, автоматизации и управления инженерными системами центров обработки данных",2018,Век качества,cyberleninka.ru,https://cyberleninka.ru/article/n/18078247,,51,2021-08-07 17:02:08,HTML,,,,,,,,0,0,0,1,3,"… каналам связи до больших вычислительных систем (мэйнфреймов) и/или … компании Allen-Bradley (Rockwell) для модернизации устаревшей диспетчерской … критичных областях (например, в автомобильной промышленности, модернизация производства фирмой …"
,,,,,,,,,,,,,,,,,,,,,,,
84,"А Прохоров, Л Коник","Цифровая трансформация. Анализ, тренды, мировой опыт",2020,,books.google.com,https://books.google.com/books?hl=en&lr=&id=JQx2DwAAQBAJ&oi=fnd&pg=PT3&dq=%D0%BC%D0%BE%D0%B4%D0%B5%D1%80%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%D0%BC%D0%B5%D0%B9%D0%BD%D1%84%D1%80%D0%B5%D0%B9%D0%BC%D0%BE%D0%B2&ots=Mc-QzS8dcf&sig=ZdS7ltYUqB6xHuxdIcc9vZBmNH4,https://scholar.google.com/scholar?cites=6512693301126797052&as_sdt=2005&sciodt=2007&hl=en,53,2021-08-07 17:02:08,BOOK,,,,,,,,84,84,42,2,1,"… Первая платформа была реализована на базе мейнфреймов и терминалов, вторая – на основе ПК и клиент-серверной … основе третьей платформы (ее также обозначают аббревиатурой SMAC (Social, Mobility, Analytics, Cloud); модернизация наследуемых ИКТ …"
